benchmark_id,model_id,match_type,alias_text,priority,notes
terminal_bench_2,abacus_ai_desktop_multiple,exact,Abacus AI Desktop | Multiple,10,Auto-generated from current unresolved live benchmark source names.
gaia,adk_gaia,exact,ADK-GAIA,10,Auto-generated from current unresolved live benchmark source names.
gaia,agent2030,exact,Agent2030,10,Auto-generated from current unresolved live benchmark source names.
gaia,agent_2030,exact,agent-2030,10,Auto-generated from current unresolved live benchmark source names.
gaia,agent_2030_v2_0,exact,agent-2030-v2.0,10,Auto-generated from current unresolved live benchmark source names.
gaia,agentim,exact,AgentIM,10,Auto-generated from current unresolved live benchmark source names.
gaia,agentim_v1_1,exact,AgentIM v1.1,10,Auto-generated from current unresolved live benchmark source names.
gaia,agents_on_the_fly,exact,Agents-On-the-fly,10,Auto-generated from current unresolved live benchmark source names.
gaia,aime_agent_v0_1,exact,Aime_Agent_v0.1,10,Auto-generated from current unresolved live benchmark source names.
gaia,alita_v0_1,exact,Alita v0.1,10,Auto-generated from current unresolved live benchmark source names.
gaia,alita_v1_1,exact,Alita v1.1,10,Auto-generated from current unresolved live benchmark source names.
gaia,alita_v2_0,exact,Alita v2.0,10,Auto-generated from current unresolved live benchmark source names.
gaia,alita_v2_1,exact,Alita v2.1,10,Auto-generated from current unresolved live benchmark source names.
gaia,anges,exact,Anges,10,Auto-generated from current unresolved live benchmark source names.
gaia,ant_test,exact,ant_test,10,Auto-generated from current unresolved live benchmark source names.
terminal_bench_2,ante_gemini_3_pro,exact,Ante | Gemini 3 Pro,10,Auto-generated from current unresolved live benchmark source names.
gaia,auto_deep_research,exact,Auto-Deep-Research,10,Auto-generated from current unresolved live benchmark source names.
gaia,autogpt4,exact,AutoGPT4,10,Auto-generated from current unresolved live benchmark source names.
gaia,aworld,exact,AWorld,10,Auto-generated from current unresolved live benchmark source names.
gaia,aworld_click_to_run_instantly,exact,AWorld (Click to Run Instantly),10,Auto-generated from current unresolved live benchmark source names.
gaia,barcelona_v0_1,exact,Barcelona v0.1,10,Auto-generated from current unresolved live benchmark source names.
