snapshot_month,model_id,capability_family_id,capability_score_100,coverage_weight,benchmark_count,contributing_benchmark_ids
2026-04,abacus_ai_desktop_multiple,research,0.0000,0.0000,0,
2026-04,abacus_ai_desktop_multiple,synthesis_reporting,0.0000,0.0000,0,
2026-04,abacus_ai_desktop_multiple,planning_orchestration,58.4000,0.0559,1,terminal_bench_2
2026-04,abacus_ai_desktop_multiple,tool_use,58.4000,0.0512,1,terminal_bench_2
2026-04,abacus_ai_desktop_multiple,workflow_execution,58.4000,0.0612,1,terminal_bench_2
2026-04,abacus_ai_desktop_multiple,computer_use,58.4000,0.0476,1,terminal_bench_2
2026-04,abacus_ai_desktop_multiple,policy_compliance,58.4000,0.0306,1,terminal_bench_2
2026-04,abacus_ai_desktop_multiple,technical_execution,58.4000,0.3488,1,terminal_bench_2
2026-04,adk_gaia,research,50.9100,0.2573,1,gaia
2026-04,adk_gaia,synthesis_reporting,50.9100,0.3434,1,gaia
2026-04,adk_gaia,planning_orchestration,50.9100,0.2360,1,gaia
2026-04,adk_gaia,tool_use,50.9100,0.1082,1,gaia
2026-04,adk_gaia,workflow_execution,50.9100,0.0862,1,gaia
2026-04,adk_gaia,computer_use,0.0000,0.0000,0,
2026-04,adk_gaia,policy_compliance,50.9100,0.1293,1,gaia
2026-04,adk_gaia,technical_execution,0.0000,0.0000,0,
2026-04,agent2030,research,73.9400,0.2573,1,gaia
2026-04,agent2030,synthesis_reporting,73.9400,0.3434,1,gaia
2026-04,agent2030,planning_orchestration,73.9400,0.2360,1,gaia
2026-04,agent2030,tool_use,73.9400,0.1082,1,gaia
2026-04,agent2030,workflow_execution,73.9400,0.0862,1,gaia
2026-04,agent2030,computer_use,0.0000,0.0000,0,
2026-04,agent2030,policy_compliance,73.9400,0.1293,1,gaia
2026-04,agent2030,technical_execution,0.0000,0.0000,0,
2026-04,agent_2030,research,83.0300,0.2573,1,gaia
2026-04,agent_2030,synthesis_reporting,83.0300,0.3434,1,gaia
2026-04,agent_2030,planning_orchestration,83.0300,0.2360,1,gaia
2026-04,agent_2030,tool_use,83.0300,0.1082,1,gaia
2026-04,agent_2030,workflow_execution,83.0300,0.0862,1,gaia
2026-04,agent_2030,computer_use,0.0000,0.0000,0,
2026-04,agent_2030,policy_compliance,83.0300,0.1293,1,gaia
2026-04,agent_2030,technical_execution,0.0000,0.0000,0,
2026-04,agent_2030_v2_0,research,87.2700,0.2573,1,gaia
2026-04,agent_2030_v2_0,synthesis_reporting,87.2700,0.3434,1,gaia
2026-04,agent_2030_v2_0,planning_orchestration,87.2700,0.2360,1,gaia
2026-04,agent_2030_v2_0,tool_use,87.2700,0.1082,1,gaia
2026-04,agent_2030_v2_0,workflow_execution,87.2700,0.0862,1,gaia
2026-04,agent_2030_v2_0,computer_use,0.0000,0.0000,0,
2026-04,agent_2030_v2_0,policy_compliance,87.2700,0.1293,1,gaia
2026-04,agent_2030_v2_0,technical_execution,0.0000,0.0000,0,
2026-04,agentim,research,37.5800,0.2573,1,gaia
2026-04,agentim,synthesis_reporting,37.5800,0.3434,1,gaia
2026-04,agentim,planning_orchestration,37.5800,0.2360,1,gaia
2026-04,agentim,tool_use,37.5800,0.1082,1,gaia
2026-04,agentim,workflow_execution,37.5800,0.0862,1,gaia
2026-04,agentim,computer_use,0.0000,0.0000,0,
2026-04,agentim,policy_compliance,37.5800,0.1293,1,gaia
2026-04,agentim,technical_execution,0.0000,0.0000,0,
2026-04,agentim_v1_1,research,40.0000,0.2573,1,gaia
2026-04,agentim_v1_1,synthesis_reporting,40.0000,0.3434,1,gaia
2026-04,agentim_v1_1,planning_orchestration,40.0000,0.2360,1,gaia
2026-04,agentim_v1_1,tool_use,40.0000,0.1082,1,gaia
2026-04,agentim_v1_1,workflow_execution,40.0000,0.0862,1,gaia
2026-04,agentim_v1_1,computer_use,0.0000,0.0000,0,
2026-04,agentim_v1_1,policy_compliance,40.0000,0.1293,1,gaia
2026-04,agentim_v1_1,technical_execution,0.0000,0.0000,0,
2026-04,agents_on_the_fly,research,40.6100,0.2573,1,gaia
2026-04,agents_on_the_fly,synthesis_reporting,40.6100,0.3434,1,gaia
2026-04,agents_on_the_fly,planning_orchestration,40.6100,0.2360,1,gaia
2026-04,agents_on_the_fly,tool_use,40.6100,0.1082,1,gaia
