snapshot_month,frontier_model_id,frontier_display_name,frontier_provider,matching_term,source_model_id,source_display_name,source_provider,benchmark_id,benchmark_variant,score_normalized_100,result_quality_weight,selected_for_frontier
2026-04,openai_gpt_5_4,GPT-5.4,OpenAI,gpt 5 4,forgecode_gpt_5_4,ForgeCode | GPT-5.4,ForgeCode,terminal_bench_2,current_public,81.8000,1.0000,yes
2026-04,google_gemini_3_1_pro,Gemini 3.1 Pro,Google,gemini 3 1 pro,tongagents_gemini_3_1_pro,TongAgents | Gemini 3.1 Pro,TongAgents,terminal_bench_2,current_public,80.2000,1.0000,yes
2026-04,anthropic_claude_opus_4_6,Claude Opus 4.6,Anthropic,claude opus 4 6,forgecode_claude_opus_4_6,ForgeCode | Claude Opus 4.6,ForgeCode,terminal_bench_2,current_public,79.8000,1.0000,yes
2026-04,openai_gpt_5_3_codex,GPT-5.3-Codex,OpenAI,gpt 5 3 codex,sageagent_gpt_5_3_codex,SageAgent | GPT-5.3-Codex,SageAgent,terminal_bench_2,current_public,78.4000,1.0000,yes
2026-04,google_gemini_3_1_pro,Gemini 3.1 Pro,Google,gemini 3 1 pro,forgecode_gemini_3_1_pro,ForgeCode | Gemini 3.1 Pro,ForgeCode,terminal_bench_2,current_public,78.4000,1.0000,no
2026-04,openai_gpt_5_3_codex,GPT-5.3-Codex,OpenAI,gpt 5 3 codex,droid_gpt_5_3_codex,Droid | GPT-5.3-Codex,Droid,terminal_bench_2,current_public,77.3000,1.0000,no
2026-04,anthropic_claude_opus_4_6,Claude Opus 4.6,Anthropic,claude opus 4 6,capy_claude_opus_4_6,Capy | Claude Opus 4.6,Capy,terminal_bench_2,current_public,75.3000,1.0000,no
2026-04,openai_gpt_5_3_codex,GPT-5.3-Codex,OpenAI,gpt 5 3 codex,simple_codex_gpt_5_3_codex,Simple Codex | GPT-5.3-Codex,Simple Codex,terminal_bench_2,current_public,75.1000,1.0000,no
2026-04,google_gemini_3_1_pro,Gemini 3.1 Pro,Google,gemini 3 1 pro,terminus_kira_gemini_3_1_pro,Terminus-KIRA | Gemini 3.1 Pro,Terminus-KIRA,terminal_bench_2,current_public,74.8000,1.0000,no
2026-04,anthropic_claude_opus_4_6,Claude Opus 4.6,Anthropic,claude opus 4 6,terminus_kira_claude_opus_4_6,Terminus-KIRA | Claude Opus 4.6,Terminus-KIRA,terminal_bench_2,current_public,74.7000,1.0000,no
2026-04,openai_gpt_5_3_codex,GPT-5.3-Codex,OpenAI,gpt 5 3 codex,mux_gpt_5_3_codex,Mux | GPT-5.3-Codex,Mux,terminal_bench_2,current_public,74.6000,1.0000,no
2026-04,anthropic_claude_opus_4_6,Claude Opus 4.6,Anthropic,claude 4 6 opus,maya_v2_claude_4_6_opus,MAYA-V2 | Claude 4.6 Opus,MAYA-V2,terminal_bench_2,current_public,72.1000,1.0000,no
2026-04,anthropic_claude_opus_4_6,Claude Opus 4.6,Anthropic,claude opus 4 6,tongagents_claude_opus_4_6,TongAgents | Claude Opus 4.6,TongAgents,terminal_bench_2,current_public,71.9000,1.0000,no
2026-04,openai_gpt_5_3_codex,GPT-5.3-Codex,OpenAI,gpt 5 3 codex,codebrain_1_gpt_5_3_codex,CodeBrain-1 | GPT-5.3-Codex,CodeBrain-1,terminal_bench_2,current_public,70.3000,1.0000,no
2026-04,anthropic_claude_opus_4_6,Claude Opus 4.6,Anthropic,claude opus 4 6,droid_claude_opus_4_6,Droid | Claude Opus 4.6,Droid,terminal_bench_2,current_public,69.9000,1.0000,no
2026-04,google_gemini_3_pro,Gemini 3 Pro,Google,gemini 3 pro,ante_gemini_3_pro,Ante | Gemini 3 Pro,Ante,terminal_bench_2,current_public,69.4000,1.0000,yes
2026-04,openai_gpt_5_3_codex,GPT-5.3-Codex,OpenAI,gpt 5 3 codex,indusagi_coding_agent_gpt_5_3_codex,IndusAGI Coding Agent | GPT-5.3-Codex,IndusAGI Coding Agent,terminal_bench_2,current_public,69.1000,1.0000,no
2026-04,anthropic_claude_opus_4_6,Claude Opus 4.6,Anthropic,claude opus 4 6,crux_claude_opus_4_6,Crux | Claude Opus 4.6,Crux,terminal_bench_2,current_public,66.9000,1.0000,no
2026-04,openai_gpt_5_2_codex,GPT-5.2-Codex,OpenAI,gpt 5 2 codex,deep_agents_gpt_5_2_codex,Deep Agents | GPT-5.2-Codex,Deep Agents,terminal_bench_2,current_public,66.5000,1.0000,yes
2026-04,anthropic_claude_opus_4_6,Claude Opus 4.6,Anthropic,claude opus 4 6,mux_claude_opus_4_6,Mux | Claude Opus 4.6,Mux,terminal_bench_2,current_public,66.5000,1.0000,no
2026-04,google_gemini_3_pro,Gemini 3 Pro,Google,gemini 3 pro,sageagent_gemini_3_pro,SageAgent | Gemini 3 Pro,SageAgent,terminal_bench_2,current_public,65.2000,1.0000,no
2026-04,openai_gpt_5_2,GPT-5.2,OpenAI,gpt 5 2,droid_gpt_5_2,Droid | GPT-5.2,Droid,terminal_bench_2,current_public,64.9000,1.0000,yes
2026-04,openai_gpt_5_3_codex,GPT-5.3-Codex,OpenAI,gpt 5 3 codex,terminus_2_gpt_5_3_codex,Terminus 2 | GPT-5.3-Codex,Terminus 2,terminal_bench_2,current_public,64.7000,1.0000,no
2026-04,google_gemini_3_flash,Gemini 3 Flash,Google,gemini 3 flash,junie_cli_gemini_3_flash,Junie CLI | Gemini 3 Flash,Junie CLI,terminal_bench_2,current_public,64.3000,1.0000,yes
2026-04,anthropic_claude_opus_4_5,Claude Opus 4.5,Anthropic,claude opus 4 5,droid_claude_opus_4_5,Droid | Claude Opus 4.5,Droid,terminal_bench_2,current_public,63.1000,1.0000,yes
