snapshot_month,model_id,occupation_code,occupation_label,realized_occupation_exposure_100,weighted_dae_100,weighted_se_100,weighted_oc_100,weighted_ic_100,benchmark_coverage_ratio,included_task_count
2026-04,abacus_ai_desktop_multiple,15-1299.09,Project Management Specialists / Information Project Managers,17.8749,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,adk_gaia,15-1299.09,Project Management Specialists / Information Project Managers,20.6265,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,agent2030,15-1299.09,Project Management Specialists / Information Project Managers,29.9573,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,agent_2030,15-1299.09,Project Management Specialists / Information Project Managers,33.6401,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,agent_2030_v2_0,15-1299.09,Project Management Specialists / Information Project Managers,35.3580,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,agentim,15-1299.09,Project Management Specialists / Information Project Managers,15.2258,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,agentim_v1_1,15-1299.09,Project Management Specialists / Information Project Managers,16.2063,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,agents_on_the_fly,15-1299.09,Project Management Specialists / Information Project Managers,16.4534,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,aime_agent_v0_1,15-1299.09,Project Management Specialists / Information Project Managers,31.4320,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,alita_v0_1,15-1299.09,Project Management Specialists / Information Project Managers,28.9768,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,alita_v1_1,15-1299.09,Project Management Specialists / Information Project Managers,31.9223,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,alita_v2_0,15-1299.09,Project Management Specialists / Information Project Managers,34.8677,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,alita_v2_1,15-1299.09,Project Management Specialists / Information Project Managers,35.3580,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,anges,15-1299.09,Project Management Specialists / Information Project Managers,24.3094,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,ant_test,15-1299.09,Project Management Specialists / Information Project Managers,0.4902,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,ante_gemini_3_pro,15-1299.09,Project Management Specialists / Information Project Managers,21.2418,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,auto_deep_research,15-1299.09,Project Management Specialists / Information Project Managers,22.3444,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,autogpt4,15-1299.09,Project Management Specialists / Information Project Managers,1.9650,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,aworld,15-1299.09,Project Management Specialists / Information Project Managers,28.2394,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,aworld_click_to_run_instantly,15-1299.09,Project Management Specialists / Information Project Managers,31.4320,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,barcelona_v0_1,15-1299.09,Project Management Specialists / Information Project Managers,20.3794,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,camel_ai_claude_sonnet_4_5,15-1299.09,Project Management Specialists / Information Project Managers,14.2326,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,capy_claude_opus_4_6,15-1299.09,Project Management Specialists / Information Project Managers,23.0476,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,cchuter_minimax_m2_5,15-1299.09,Project Management Specialists / Information Project Managers,13.0695,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,claritybot,15-1299.09,Project Management Specialists / Information Project Managers,2.7024,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,claritybotv2,15-1299.09,Project Management Specialists / Information Project Managers,4.9105,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,claude_code_claude_haiku_4_5,15-1299.09,Project Management Specialists / Information Project Managers,8.4171,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,claude_code_claude_opus_4_1,15-1299.09,Project Management Specialists / Information Project Managers,10.6515,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,claude_code_claude_opus_4_5,15-1299.09,Project Management Specialists / Information Project Managers,15.9466,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,claude_code_claude_opus_4_6,15-1299.09,Project Management Specialists / Information Project Managers,17.7525,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,claude_code_claude_sonnet_4_5,15-1299.09,Project Management Specialists / Information Project Managers,12.2737,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,co_sight_v0_1_cores_agent_original,15-1299.09,Project Management Specialists / Information Project Managers,28.9768,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,co_sight_v0_2_cores_agent_original,15-1299.09,Project Management Specialists / Information Project Managers,29.4670,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,codebrain_1_gemini_3_pro,15-1299.09,Project Management Specialists / Information Project Managers,19.0380,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,codebrain_1_gpt_5_3_codex,15-1299.09,Project Management Specialists / Information Project Managers,21.5172,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,codex_cli_gpt_5,15-1299.09,Project Management Specialists / Information Project Managers,15.1814,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,codex_cli_gpt_5_1_codex_max,15-1299.09,Project Management Specialists / Information Project Managers,18.4871,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,codex_cli_gpt_5_2,15-1299.09,Project Management Specialists / Information Project Managers,19.2523,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,codex_cli_gpt_5_codex,15-1299.09,Project Management Specialists / Information Project Managers,13.5592,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,codex_cli_gpt_5_mini,15-1299.09,Project Management Specialists / Information Project Managers,9.7639,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,codex_cli_gpt_5_nano,15-1299.09,Project Management Specialists / Information Project Managers,3.5199,68.0900,20.0300,72.3800,28.3700,0.0543,21
