snapshot_month,model_id,task_id,onet_task_text,benchmark_observability,structural_exposure_100,capability_fit_100,realized_exposure_100,oc_100,benchmark_coverage_ratio
2026-04,abacus_ai_desktop_multiple,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,49.6400,28.5728,81.2500,0.0580
2026-04,abacus_ai_desktop_multiple,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,37.9600,12.4433,75.0000,0.0465
2026-04,abacus_ai_desktop_multiple,T03,Monitor or track project milestones and deliverables.,high,50.6550,35.0400,17.7495,43.7500,0.0450
2026-04,abacus_ai_desktop_multiple,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,49.6400,17.0191,62.5000,0.0430
2026-04,abacus_ai_desktop_multiple,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,20.4400,7.3983,75.0000,0.0158
2026-04,abacus_ai_desktop_multiple,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,49.6400,26.8925,93.7500,0.0549
2026-04,abacus_ai_desktop_multiple,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,49.6400,16.8577,43.7500,0.0442
2026-04,abacus_ai_desktop_multiple,T08,Direct or coordinate activities of project personnel.,medium,36.6950,49.6400,18.2154,87.5000,0.0438
2026-04,abacus_ai_desktop_multiple,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,35.0400,16.7263,75.0000,0.0457
2026-04,abacus_ai_desktop_multiple,T10,Identify need for initial or supplemental project resources.,medium,42.6150,40.8800,17.4210,62.5000,0.0796
2026-04,abacus_ai_desktop_multiple,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,46.7200,30.0737,81.2500,0.0864
2026-04,abacus_ai_desktop_multiple,T12,Perform risk assessments to develop response strategies.,high,47.7700,32.1200,15.3437,68.7500,0.0245
2026-04,abacus_ai_desktop_multiple,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,17.5200,10.8282,43.7500,0.0140
2026-04,abacus_ai_desktop_multiple,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,35.0400,12.8719,81.2500,0.0724
2026-04,abacus_ai_desktop_multiple,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,40.8800,19.7573,81.2500,0.0634
2026-04,abacus_ai_desktop_multiple,T16,Establish and execute a project communication plan.,medium,51.9700,40.8800,21.2453,62.5000,0.0350
2026-04,abacus_ai_desktop_multiple,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,49.6400,22.8940,56.2500,0.1039
2026-04,abacus_ai_desktop_multiple,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,37.9600,13.7681,87.5000,0.0433
2026-04,abacus_ai_desktop_multiple,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,40.8800,15.2155,75.0000,0.0650
2026-04,abacus_ai_desktop_multiple,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,52.5600,19.3946,93.7500,0.0726
2026-04,abacus_ai_desktop_multiple,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,46.7200,13.3035,93.7500,0.0960
2026-04,adk_gaia,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,48.3645,27.8386,81.2500,0.1644
2026-04,adk_gaia,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,48.3645,15.8539,75.0000,0.1901
2026-04,adk_gaia,T03,Monitor or track project milestones and deliverables.,high,50.6550,48.3645,24.4990,43.7500,0.1955
2026-04,adk_gaia,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,45.8190,15.7090,62.5000,0.1377
2026-04,adk_gaia,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,50.9100,18.4269,75.0000,0.2372
2026-04,adk_gaia,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,48.3645,26.2015,93.7500,0.1826
2026-04,adk_gaia,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,45.8190,15.5601,43.7500,0.1719
2026-04,adk_gaia,T08,Direct or coordinate activities of project personnel.,medium,36.6950,50.9100,18.6814,87.5000,0.1708
2026-04,adk_gaia,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,48.3645,23.0868,75.0000,0.2254
2026-04,adk_gaia,T10,Identify need for initial or supplemental project resources.,medium,42.6150,43.2735,18.4410,62.5000,0.1782
