task_id,onet_task_text,benchmark_observability,research,synthesis_reporting,planning_orchestration,tool_use,workflow_execution,computer_use,policy_compliance,technical_execution
T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,0.05,0.10,0.25,0.10,0.25,0.00,0.20,0.05
T02,"Confer with project personnel to identify and resolve problems.",medium,0.25,0.10,0.20,0.05,0.15,0.00,0.20,0.05
T03,"Monitor or track project milestones and deliverables.",high,0.15,0.25,0.10,0.10,0.20,0.00,0.15,0.05
T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,0.05,0.10,0.10,0.10,0.35,0.10,0.20,0.00
T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,0.45,0.20,0.10,0.05,0.05,0.00,0.15,0.00
T06,"Initiate, review, or approve modifications to project plans.",high,0.05,0.10,0.35,0.05,0.10,0.00,0.30,0.05
T07,"Schedule and facilitate meetings related to information technology projects.",medium,0.05,0.10,0.35,0.15,0.15,0.10,0.10,0.00
T08,"Direct or coordinate activities of project personnel.",medium,0.10,0.05,0.30,0.05,0.30,0.00,0.20,0.00
T09,"Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).",high,0.20,0.20,0.35,0.05,0.05,0.00,0.10,0.05
T10,"Identify need for initial or supplemental project resources.",medium,0.20,0.10,0.25,0.05,0.10,0.00,0.15,0.15
T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,0.10,0.10,0.40,0.05,0.10,0.00,0.10,0.15
T12,"Perform risk assessments to develop response strategies.",high,0.25,0.20,0.20,0.05,0.05,0.00,0.25,0.00
T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,0.20,0.50,0.05,0.10,0.05,0.00,0.10,0.00
T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,0.25,0.15,0.15,0.05,0.05,0.00,0.20,0.15
T15,"Develop and manage annual budgets for information technology projects.",high,0.10,0.20,0.30,0.05,0.05,0.00,0.20,0.10
T16,"Establish and execute a project communication plan.",medium,0.10,0.20,0.30,0.10,0.10,0.05,0.15,0.00
T17,"Develop and manage work breakdown structure (WBS) of information technology projects.",high,0.05,0.10,0.40,0.05,0.10,0.00,0.10,0.20
T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,0.20,0.15,0.10,0.05,0.10,0.05,0.30,0.05
T19,"Coordinate recruitment or selection of project personnel.",low,0.20,0.10,0.15,0.05,0.20,0.05,0.15,0.10
T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,0.05,0.05,0.30,0.05,0.15,0.00,0.30,0.10
T21,"Negotiate with project stakeholders or suppliers to obtain resources or materials.",low,0.15,0.05,0.15,0.05,0.10,0.00,0.30,0.20
