task_id,onet_soc_code,occupation_label,onet_category,onet_importance,onet_task_text
T01,15-1299.09,Project Management Specialists / Information Project Managers,Core,87,"Manage project execution to ensure adherence to budget, schedule, and scope."
T02,15-1299.09,Project Management Specialists / Information Project Managers,Core,85,Confer with project personnel to identify and resolve problems.
T03,15-1299.09,Project Management Specialists / Information Project Managers,Core,82,Monitor or track project milestones and deliverables.
T04,15-1299.09,Project Management Specialists / Information Project Managers,Core,81,"Submit project deliverables, ensuring adherence to quality standards."
T05,15-1299.09,Project Management Specialists / Information Project Managers,Core,80,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods."
T06,15-1299.09,Project Management Specialists / Information Project Managers,Core,80,"Initiate, review, or approve modifications to project plans."
T07,15-1299.09,Project Management Specialists / Information Project Managers,Core,79,Schedule and facilitate meetings related to information technology projects.
T08,15-1299.09,Project Management Specialists / Information Project Managers,Core,78,Direct or coordinate activities of project personnel.
T09,15-1299.09,Project Management Specialists / Information Project Managers,Core,76,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).
T10,15-1299.09,Project Management Specialists / Information Project Managers,Core,76,Identify need for initial or supplemental project resources.
T11,15-1299.09,Project Management Specialists / Information Project Managers,Core,76,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing."
T12,15-1299.09,Project Management Specialists / Information Project Managers,Core,76,Perform risk assessments to develop response strategies.
T13,15-1299.09,Project Management Specialists / Information Project Managers,Core,75,"Prepare project status reports by collecting, analyzing, and summarizing information and trends."
T14,15-1299.09,Project Management Specialists / Information Project Managers,Core,74,"Identify, review, or select vendors or consultants to meet project needs."
T15,15-1299.09,Project Management Specialists / Information Project Managers,Core,74,Develop and manage annual budgets for information technology projects.
T16,15-1299.09,Project Management Specialists / Information Project Managers,Core,73,Establish and execute a project communication plan.
T17,15-1299.09,Project Management Specialists / Information Project Managers,Core,73,Develop and manage work breakdown structure (WBS) of information technology projects.
T18,15-1299.09,Project Management Specialists / Information Project Managers,Core,71,"Monitor the performance of project team members, providing and documenting performance feedback."
T19,15-1299.09,Project Management Specialists / Information Project Managers,Core,71,Coordinate recruitment or selection of project personnel.
T20,15-1299.09,Project Management Specialists / Information Project Managers,Core,70,"Assign duties, responsibilities, and spans of authority to project personnel."
T21,15-1299.09,Project Management Specialists / Information Project Managers,Core,68,Negotiate with project stakeholders or suppliers to obtain resources or materials.
